rank,project,priority,source_level,source_name,query,search_url,purpose,checked,result_status,result_url,result_title,evidence_type,extracted_facts,next_action,notes,created_at,updated_at
11,DATA4 Cornaredo,P2,technical,Iter tecnico locale,"""DATA 4 MILAN"" ""Cornaredo"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22DATA+4+MILAN%22+%22Cornaredo%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
12,DATA4 Cornaredo,P2,technical,Iter tecnico locale,"""DATA 4 MILAN"" ""Settimo Milanese"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22DATA+4+MILAN%22+%22Settimo+Milanese%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
1,CyrusOne MIL1,P2,municipality,Comune Segrate,"""CyrusOne MIL1"" ""Segrate"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22CyrusOne+MIL1%22+%22Segrate%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
2,CyrusOne MIL1,P2,municipality,Comune Segrate,"""CyrusOne Italy I"" ""Segrate"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22CyrusOne+Italy+I%22+%22Segrate%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
3,CyrusOne MIL1,P2,municipality,Comune Segrate,"""CyrusOne Segrate"" ""Segrate"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22CyrusOne+Segrate%22+%22Segrate%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
4,CyrusOne MIL1,P2,municipality,Comune Segrate,"""data center ex CISE Segrate"" ""Segrate"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22data+center+ex+CISE+Segrate%22+%22Segrate%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
5,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne MIL1"" ""Segrate"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+MIL1%22+%22Segrate%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
6,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne MIL1"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+MIL1%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
7,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne Italy I"" ""Segrate"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+Italy+I%22+%22Segrate%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
8,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne Italy I"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+Italy+I%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
9,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne Segrate"" ""Segrate"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+Segrate%22+%22Segrate%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
10,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""CyrusOne Segrate"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22CyrusOne+Segrate%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
11,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""data center ex CISE Segrate"" ""Segrate"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22data+center+ex+CISE+Segrate%22+%22Segrate%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
12,CyrusOne MIL1,P2,technical,Iter tecnico locale,"""data center ex CISE Segrate"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22data+center+ex+CISE+Segrate%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
1,Retelit Avalon 3,P1,municipality,Comune Milano,"""Retelit Avalon 3"" ""Milano"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Retelit+Avalon+3%22+%22Milano%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
2,Retelit Avalon 3,P1,municipality,Comune Milano,"""Avalon 3"" ""Milano"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Avalon+3%22+%22Milano%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
3,Retelit Avalon 3,P1,municipality,Comune Milano,"""Retelit data center"" ""Milano"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Retelit+data+center%22+%22Milano%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
4,Retelit Avalon 3,P1,municipality,Comune Milano,"""Avalon Campus"" ""Milano"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Avalon+Campus%22+%22Milano%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
5,Retelit Avalon 3,P1,technical,Iter tecnico locale,"""Retelit Avalon 3"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Retelit+Avalon+3%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
6,Retelit Avalon 3,P1,technical,Iter tecnico locale,"""Avalon 3"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Avalon+3%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
7,Retelit Avalon 3,P1,technical,Iter tecnico locale,"""Retelit data center"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Retelit+data+center%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
8,Retelit Avalon 3,P1,technical,Iter tecnico locale,"""Avalon Campus"" ""Milano"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Avalon+Campus%22+%22Milano%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
9,Retelit Avalon 3,P1,region,Regione,"""Retelit Avalon 3"" Milano VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Retelit+Avalon+3%22+Milano+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
10,Retelit Avalon 3,P1,region,Regione,"""Avalon 3"" Milano VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Avalon+3%22+Milano+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
11,Retelit Avalon 3,P1,region,Regione,"""Retelit data center"" Milano VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Retelit+data+center%22+Milano+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
12,Retelit Avalon 3,P1,region,Regione,"""Avalon Campus"" Milano VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Avalon+Campus%22+Milano+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
1,ROM1,P1,municipality,Comune Roma,"""ROM1"" ""Roma"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22ROM1%22+%22Roma%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
2,ROM1,P1,municipality,Comune Roma,"""ROM1 data center"" ""Roma"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22ROM1+data+center%22+%22Roma%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
3,ROM1,P1,municipality,Comune Roma,"""Roma data center ROM1"" ""Roma"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Roma+data+center+ROM1%22+%22Roma%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
4,ROM1,P1,municipality,Comune Roma,"""Rome data center ROM1"" ""Roma"" ""permesso di costruire"" OR ""conferenza dei servizi"" OR ""albo pretorio""",https://www.google.com/search?q=%22Rome+data+center+ROM1%22+%22Roma%22+%22permesso+di+costruire%22+OR+%22conferenza+dei+servizi%22+OR+%22albo+pretorio%22,"Cercare permessi, conferenze servizi, delibere, convenzioni urbanistiche.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
5,ROM1,P1,technical,Iter tecnico locale,"""ROM1"" ""Roma"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22ROM1%22+%22Roma%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
6,ROM1,P1,technical,Iter tecnico locale,"""ROM1 data center"" ""Roma"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22ROM1+data+center%22+%22Roma%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
7,ROM1,P1,technical,Iter tecnico locale,"""Roma data center ROM1"" ""Roma"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Roma+data+center+ROM1%22+%22Roma%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
8,ROM1,P1,technical,Iter tecnico locale,"""Rome data center ROM1"" ""Roma"" ""gruppi elettrogeni"" ""cabina"" ""cavidotto"" ""Terna"" ""Enel""",https://www.google.com/search?q=%22Rome+data+center+ROM1%22+%22Roma%22+%22gruppi+elettrogeni%22+%22cabina%22+%22cavidotto%22+%22Terna%22+%22Enel%22,"Cercare connessioni elettriche, cabine, cavidotti, generatori.",no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
9,ROM1,P1,region,Regione,"""ROM1"" Roma VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22ROM1%22+Roma+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
10,ROM1,P1,region,Regione,"""ROM1 data center"" Roma VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22ROM1+data+center%22+Roma+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
11,ROM1,P1,region,Regione,"""Roma data center ROM1"" Roma VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Roma+data+center+ROM1%22+Roma+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
12,ROM1,P1,region,Regione,"""Rome data center ROM1"" Roma VIA OR PAUR OR ""verifica di assoggettabilità"" OR ""valutazione impatto ambientale""",https://www.google.com/search?q=%22Rome+data+center+ROM1%22+Roma+VIA+OR+PAUR+OR+%22verifica+di+assoggettabilit%C3%A0%22+OR+%22valutazione+impatto+ambientale%22,Cercare procedimenti regionali VIA/PAUR/verifica assoggettabilità.,no,,,,,,,,2026-05-31T18:39:33,2026-05-31T18:43:52
